dpi	animal	observation	score
94	400	abnormal activity level: excited	0
94	400	abnormal activity level: slow	0
94	400	abnormal gait	0
94	400	abnormal landing from drop	0
94	400	abnormal pelvic elevation: high	0
94	400	abnormal pelvic elevation: low	0
94	400	abnormal posture	0
94	400	abnormal tail elevation	0
94	400	ataxia	0
94	400	bladder	0
94	400	blank stare	0
94	400	circling	0
94	400	clasping  front and back legs	0
94	400	clasping back legs	0
94	400	clasping front legs	0
94	400	convulsions	0
94	400	dehydrated	0
94	400	delayed hot plate response >5sec	0
94	400	doesn't reach for bar	0
94	400	doesn't see bar	0
94	400	head tilt	0
94	400	head-bobbing	0
94	400	hunched	0
94	400	increased vocalization	0
94	400	kyphosis	0
94	400	lacks balance on edge of cage	0
94	400	lacks righting reflex	0
94	400	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	400	lethargic	0
94	400	moribund	0
94	400	neophobia (freezing)	0
94	400	no balance on bar	0
94	400	no bite reflex	0
94	400	no leg resistance	1
94	400	no reaction to toe pinch	0
94	400	paralysis	0
94	400	tail suspension: poor or no splay	0
94	400	weak grip: bar (fall only)	0
94	400	weak grip: grid, forelimb	0
94	400	weak grip: hindlimb hang	0
94	401	abnormal activity level: excited	0
94	401	abnormal activity level: slow	0
94	401	abnormal gait	0
94	401	abnormal landing from drop	0
94	401	abnormal pelvic elevation: high	0
94	401	abnormal pelvic elevation: low	0
94	401	abnormal posture	0
94	401	abnormal tail elevation	0
94	401	ataxia	0
94	401	bladder	1
94	401	blank stare	0
94	401	circling	0
94	401	clasping  front and back legs	0
94	401	clasping back legs	2
94	401	clasping front legs	0
94	401	convulsions	0
94	401	dehydrated	0
94	401	delayed hot plate response >5sec	0
94	401	doesn't reach for bar	0
94	401	doesn't see bar	0
94	401	head tilt	0
94	401	head-bobbing	0
94	401	hunched	0
94	401	increased vocalization	0
94	401	kyphosis	0
94	401	lacks balance on edge of cage	0
94	401	lacks righting reflex	0
94	401	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	401	lethargic	0
94	401	moribund	0
94	401	neophobia (freezing)	0
94	401	no balance on bar	0
94	401	no bite reflex	0
94	401	no leg resistance	0
94	401	no reaction to toe pinch	0
94	401	paralysis	0
94	401	tail suspension: poor or no splay	0
94	401	weak grip: bar (fall only)	2
94	401	weak grip: grid, forelimb	0
94	401	weak grip: hindlimb hang	0
94	402	abnormal activity level: excited	0.0
94	402	abnormal activity level: slow	0.0
94	402	abnormal gait	0.0
94	402	abnormal landing from drop	0.0
94	402	abnormal pelvic elevation: high	0.0
94	402	abnormal pelvic elevation: low	0.0
94	402	abnormal posture	0.0
94	402	abnormal tail elevation	0.0
94	402	ataxia	0.0
94	402	bladder	0.0
94	402	blank stare	0.0
94	402	circling	0.0
94	402	clasping  front and back legs	0.0
94	402	clasping back legs	0.0
94	402	clasping front legs	0.0
94	402	convulsions	0.0
94	402	dehydrated	0.0
94	402	delayed hot plate response >5sec	0.0
94	402	doesn't reach for bar	0.0
94	402	doesn't see bar	0.0
94	402	head tilt	0.0
94	402	head-bobbing	0.0
94	402	hunched	0.0
94	402	increased vocalization	0.0
94	402	kyphosis	0.0
94	402	lacks balance on edge of cage	0.0
94	402	lacks righting reflex	0.0
94	402	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	402	lethargic	0.0
94	402	moribund	0.0
94	402	neophobia (freezing)	1.0
94	402	no balance on bar	0.0
94	402	no bite reflex	0.0
94	402	no leg resistance	1.0
94	402	no reaction to toe pinch	0.0
94	402	paralysis	0.0
94	402	tail suspension: poor or no splay	0.0
94	402	weak grip: bar (fall only)	0.0
94	402	weak grip: grid, forelimb	0.0
94	402	weak grip: hindlimb hang	0.0
94	403	abnormal activity level: excited	0
94	403	abnormal activity level: slow	0
94	403	abnormal gait	0
94	403	abnormal landing from drop	0
94	403	abnormal pelvic elevation: high	0
94	403	abnormal pelvic elevation: low	0
94	403	abnormal posture	0
94	403	abnormal tail elevation	0
94	403	ataxia	0
94	403	bladder	0
94	403	blank stare	0
94	403	circling	0
94	403	clasping  front and back legs	0
94	403	clasping back legs	0
94	403	clasping front legs	0
94	403	convulsions	0
94	403	dehydrated	0
94	403	delayed hot plate response >5sec	0
94	403	doesn't reach for bar	0
94	403	doesn't see bar	0
94	403	head tilt	0
94	403	head-bobbing	0
94	403	hunched	0
94	403	increased vocalization	0
94	403	kyphosis	0
94	403	lacks balance on edge of cage	0
94	403	lacks righting reflex	0
94	403	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	403	lethargic	0
94	403	moribund	0
94	403	neophobia (freezing)	0
94	403	no balance on bar	0
94	403	no bite reflex	0
94	403	no leg resistance	0
94	403	no reaction to toe pinch	0
94	403	paralysis	0
94	403	tail suspension: poor or no splay	0
94	403	weak grip: bar (fall only)	0
94	403	weak grip: grid, forelimb	0
94	403	weak grip: hindlimb hang	0
94	404	abnormal activity level: excited	0.0
94	404	abnormal activity level: slow	0.0
94	404	abnormal gait	0.0
94	404	abnormal landing from drop	0.0
94	404	abnormal pelvic elevation: high	0.0
94	404	abnormal pelvic elevation: low	0.0
94	404	abnormal posture	0.0
94	404	abnormal tail elevation	0.0
94	404	ataxia	0.0
94	404	bladder	0.0
94	404	blank stare	0.0
94	404	circling	0.0
94	404	clasping  front and back legs	0.0
94	404	clasping back legs	1.0
94	404	clasping front legs	0.0
94	404	convulsions	0.0
94	404	dehydrated	0.0
94	404	delayed hot plate response >5sec	0.0
94	404	doesn't reach for bar	0.0
94	404	doesn't see bar	0.0
94	404	head tilt	0.0
94	404	head-bobbing	0.0
94	404	hunched	0.0
94	404	increased vocalization	0.0
94	404	kyphosis	0.0
94	404	lacks balance on edge of cage	0.0
94	404	lacks righting reflex	0.0
94	404	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	404	lethargic	0.0
94	404	moribund	0.0
94	404	neophobia (freezing)	1.0
94	404	no balance on bar	1.0
94	404	no bite reflex	0.0
94	404	no leg resistance	1.0
94	404	no reaction to toe pinch	1.0
94	404	paralysis	0.0
94	404	tail suspension: poor or no splay	0.0
94	404	weak grip: bar (fall only)	2.0
94	404	weak grip: grid, forelimb	0.0
94	404	weak grip: hindlimb hang	0.0
94	405	abnormal activity level: excited	0.0
94	405	abnormal activity level: slow	0.0
94	405	abnormal gait	0.0
94	405	abnormal landing from drop	0.0
94	405	abnormal pelvic elevation: high	0.0
94	405	abnormal pelvic elevation: low	0.0
94	405	abnormal posture	0.0
94	405	abnormal tail elevation	0.0
94	405	ataxia	0.0
94	405	bladder	0.0
94	405	blank stare	0.0
94	405	circling	0.0
94	405	clasping  front and back legs	0.0
94	405	clasping back legs	0.0
94	405	clasping front legs	0.0
94	405	convulsions	0.0
94	405	dehydrated	0.0
94	405	delayed hot plate response >5sec	0.0
94	405	doesn't reach for bar	0.0
94	405	doesn't see bar	0.0
94	405	head tilt	0.0
94	405	head-bobbing	0.0
94	405	hunched	0.0
94	405	increased vocalization	0.0
94	405	kyphosis	0.0
94	405	lacks balance on edge of cage	0.0
94	405	lacks righting reflex	0.0
94	405	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	405	lethargic	0.0
94	405	moribund	0.0
94	405	neophobia (freezing)	0.0
94	405	no balance on bar	2.0
94	405	no bite reflex	0.0
94	405	no leg resistance	1.0
94	405	no reaction to toe pinch	0.0
94	405	paralysis	0.0
94	405	tail suspension: poor or no splay	0.0
94	405	weak grip: bar (fall only)	2.0
94	405	weak grip: grid, forelimb	0.0
94	405	weak grip: hindlimb hang	0.0
94	406	abnormal activity level: excited	0
94	406	abnormal activity level: slow	0
94	406	abnormal gait	0
94	406	abnormal landing from drop	0
94	406	abnormal pelvic elevation: high	0
94	406	abnormal pelvic elevation: low	0
94	406	abnormal posture	0
94	406	abnormal tail elevation	0
94	406	ataxia	0
94	406	bladder	0
94	406	blank stare	0
94	406	circling	0
94	406	clasping  front and back legs	0
94	406	clasping back legs	0
94	406	clasping front legs	0
94	406	convulsions	0
94	406	dehydrated	0
94	406	delayed hot plate response >5sec	0
94	406	doesn't reach for bar	0
94	406	doesn't see bar	0
